Org Code,Org Name,Org Type,Function,Contact,Address 1,Address 2,Town,State,Zip Code,Phone,Fax,Grades
00090025,Andover: West Elementary,Public School,Principal,Elizabeth Roos,58 Beacon Street,,Andover,MA,01810,978-247-5300,978-247-5390,"K,01,02,03,04,05"
00090350,Andover: Wood Hill Middle School,Public School,Principal,Patrick Bucco,11 Cross Street,,Andover,MA,01810,978-247-8800,978-247-8890,"06,07,08"
35090305,Argosy Collegiate Charter School (District): Argosy Collegiate Charter School,Charter School,Principal,Kristen Pavao,263 Hamlet Street,,Fall River,MA,02724,774-451-7280,774-365-4383,"06,07,08,09"
00100505,Arlington: Arlington High,Public School,Principal,Matthew Janger,869 Mass Avenue,,Arlington,MA,02476,781-316-3591,781-316-3504,"09,10,11,12"
00100010,Arlington: Brackett,Public School,Principal,Stephanie Zerchykov,66 Eastern Avenue,,Arlington,MA,02476,781-316-3705,781-316-3710,"K,01,02,03,04,05"
00100025,Arlington: Cyrus E Dallin,Public School,Principal,Thad Dingman,185 Florence Avenue,,Arlington,MA,02476,781-316-3722,781-316-3727,"K,01,02,03,04,05"
00100030,Arlington: Hardy,Public School,Principal,Kristin Defrancisco,52 Lake Street,,Arlington,MA,02474,781-316-3781,781-316-3717,"K,01,02,03,04,05"
00100005,Arlington: John A Bishop,Public School,Principal,Mark McAneny,25 Columbia Road,,Arlington,MA,02474,781-316-3791,781-316-3747,"K,01,02,03,04,05"
00100055,Arlington: M Norcross Stratton,Public School,Principal,Michael Hanna,180 Mountain Avenue,,Arlington,MA,02474,781-316-3754,781-316-3666,"K,01,02,03,04,05"
00100038,Arlington: Menotomy Preschool,Public School,Principal,Joyce Schlenger,869 Massachusetts Avenue,,Arlington,MA,02476,781-316-3698,781-316-3504,PK
00100410,Arlington: Ottoson Middle,Public School,Principal,Eileen Woods,63 Acton Street,,Arlington,MA,02476,781-316-3745,781-641-5436,"06,07,08"
00100045,Arlington: Peirce,Public School,Principal,Karen Hartley,85 Park Avenue Ext,,Arlington,MA,02474,781-316-3736,781-316-3748,"K,01,02,03,04,05"
00100050,Arlington: Thompson,Public School,Principal,Karen Donato,187 Everett Street,,Arlington,MA,02474,781-316-3768,781-316-1419,"K,01,02,03,04,05"
06100025,Ashburnham-Westminster: Briggs Elementary,Public School,Principal,Andrea McGrath,96 Williams Rd,,Ashburnham,MA,01430,978-827-5750,978-827-1411,"PK,K,01,02,03,04,05"
06100010,Ashburnham-Westminster: Meetinghouse School,Public School,Principal,Patricia Marquis,8 South Street,,Westminster,MA,01473,978-874-0163,978-874-7305,"K,01"
06100505,Ashburnham-Westminster: Oakmont Regional High School,Public School,Principal,David Uminski,9 Oakmont Drive,,Ashburnham,MA,01430,978-827-5907,978-827-1413,"09,10,11,12"
06100305,Ashburnham-Westminster: Overlook Middle School,Public School,Principal,Phillip Saisa,10 Oakmont Drive,,Ashburnham,MA,01430,978-827-1425,978-827-1423,"06,07,08"
06100005,Ashburnham-Westminster: Westminster Elementary,Public School,Principal,Patricia Marquis,9 Academy Hill,,Westminster,MA,01473,978-874-2043,978-874-7308,"02,03,04,05"
00140505,Ashland: Ashland High,Public School,Principal,Kelley St. Coeur,65 East Union St.,,Ashland,MA,01721,508-881-0177,508-881-0186,"09,10,11,12"
00140405,Ashland: Ashland Middle,Public School,Principal,David DiGirolamo,87 West Union Street,,Ashland,MA,01721,508-881-0167,508-881-0169,"06,07,08"
00140015,Ashland: David Mindess,Public School,Principal,Michael Caira,90 Concord Street,,Ashland,MA,01721,508-881-0166,508-881-0153,"03,04,05"
00140010,Ashland: Henry E Warren Elementary,Public School,Principal,Peter Regan,73 Fruit Street,,Ashland,MA,01721,508-881-0188,508-881-0191,"K,01,02"
00140005,Ashland: William Pittaway Elementary,Public School,Principal,Patricia White,75 Central Street,,Ashland,MA,01721,508-881-0160,508-881-0193,PK
08010605,Assabet Valley Regional Vocational Technical: Assabet Valley Vocational High School,Public School,Principal,Mark Hollick,215 Fitchburg Street,,Marlborough,MA,01752,508-485-9430,508-460-3472,"09,10,11,12"
06150020,Athol-Royalston: Athol Community Elementary School,Public School,Principal,Michael Leander,1064 Pleasant Street,,Athol,MA,01331,978-249-2406,978-249-2428,"PK,K,01,02,03,04"
06150505,Athol-Royalston: Athol High,Public School,Principal,Mitchel Aho,2363 Main Street,,Athol,MA,01331,978-249-2435,978-249-7217,"09,10,11,12"
06150305,Athol-Royalston: Athol-Royalston Middle School,Public School,Principal,Thomas Telicki,1062 Pleasant Street,,Athol,MA,01331,978-249-2430,978-249-0055,"05,06,07,08"
06150050,Athol-Royalston: Royalston Community School,Public School,Principal,Janeth Williams,96 Winchendon Rd,,Royalston,MA,01368,978-249-2900,978-249-4110,"K,01,02,03,04,05,06"
04910550,Atlantis Charter (District): Atlantis Charter School,Charter School,Principal,Robert Beatty,37 Park Street,,Fall River,MA,02721,508-672-3537,508-672-2474,"K,01,02,03,04,05,06,07,08,09,10,11,12"
00160001,Attleboro: A. Irvin Studley Elementary School,Public School,Principal,Joanne DiPalma,299 Rathbun Willard Drive,,Attleboro,MA,02703,508-222-2621,508-226-0419,"K,01,02,03,04"
00160515,Attleboro: Attleboro Community Academy,Public School,Principal,Donna Cameron,100 Rathbun Willard Drive,,Attleboro,MA,02703,508-222-5150,508-223-1579,"09,10,11,12"
00160505,Attleboro: Attleboro High,Public School,Principal,William Runey,100 Rathbun Willard Drive,,Attleboro,MA,02703,508-222-5150,508-223-1579,"09,10,11,12"
00160315,Attleboro: Cyril K. Brennan Middle School,Public School,Principal,Frederick Souza,320 Rathbun Willard Drive,,Attleboro,MA,02703,508-222-6260,508-223-1555,"05,06,07,08"
00160008,Attleboro: Early Learning Center,Public School,Principal,Veronica Learned,7 James St,,Attleboro,MA,02703,508-223-1563,508-223-1589,PK
00160045,Attleboro: Hill-Roberts Elementary School,Public School,Principal,Frank Rich,80 Roy Avenue,,Attleboro,MA,02703,508-399-7560,508-399-7284,"K,01,02,03,04"
00160040,Attleboro: Hyman Fine Elementary School,Public School,Principal,Patricia Martin,790 Oak Hill Avenue,,Attleboro,MA,02703,508-222-1419,508-226-0255,"K,01,02,03,04"
00160050,Attleboro: Peter Thacher Elementary School,Public School,Principal,Veronica Learned,160 James Street,,Attleboro,MA,02703,508-226-4162,508-226-4165,"K,01,02,03,04"
00160305,Attleboro: Robert J. Coelho Middle School,Public School,Principal,Andrew Boles,99 Brown Street,,Attleboro,MA,02703,508-761-7551,508-399-6506,"05,06,07,08"
00160035,Attleboro: Thomas Willett Elementary School,Public School,Principal,Jeffrey Cateon,32 Watson Avenue,,Attleboro,MA,02703,508-222-0286,508-223-1536,"K,01,02,03,04"
00160320,Attleboro: Wamsutta Middle School,Public School,Principal,Joseph Connor,300 Locust Street,,Attleboro,MA,02703,508-223-1540,508-226-2087,"05,06,07,08"
00170305,Auburn: Auburn Middle,Public School,Principal,Joseph Gagnon,9 West Street,,Auburn,MA,01501,508-832-7722,508-832-8655,"06,07,08"
00170505,Auburn: Auburn Senior High,Public School,Principal,Casey Handfield,99 Auburn Street,,Auburn,MA,01501,508-832-7711,508-832-7710,"PK,09,10,11,12"
00170010,Auburn: Bryn Mawr,Public School,Principal,Elizabeth Chamberland,35 Swanson Road,,Auburn,MA,01501,508-832-7733,508-832-7735,"K,01,02"
00170025,Auburn: Pakachoag School,Public School,Principal,Jennifer Stanick,110 Pakachoag Street,,Auburn,MA,01501,508-832-7788,508-832-7787,"PK,K,01,02"
00170030,Auburn: Swanson Road Intermediate School,Public School,Principal,Susan Lopez,10 Swanson Road,,Auburn,MA,01501,508-832-7744,508-832-7732,"03,04,05"
00180510,Avon: Avon Middle High School,Public School,Principal,Dawn Stockwell,287 West Main Street,,Avon,MA,02322,508-583-4822,508-588-5501,"07,08,09,10,11,12"
00180010,Avon: Ralph D Butler,Public School,Principal,Darrin Reynolds,1 Patrick Clark Drive,,Avon,MA,02322,508-587-7009,508-583-7193,"PK,K,01,02,03,04,05,06"
06160505,Ayer Shirley School District: Ayer Shirley Regional High School,Public School,Principal,Albert Varga,141 Washington Street,,Ayer,MA,01432,978-772-8600,978-772-8615,"09,10,11,12"
06160305,Ayer Shirley School District: Ayer Shirley Regional Middle School,Public School,Principal,Roberta Aikey,1 Hospital Road,,Shirley,MA,01464,978-772-8600,978-425-0474,"06,07,08"
06160001,Ayer Shirley School District: Lura A. White Elementary School,Public School,Principal,Varsha Desai,34 Lancaster Road,,Shirley,MA,01464,978-772-8600,978-425-2639,"PK,K,01,02,03,04,05"
06160002,Ayer Shirley School District: Page Hilltop Elementary School,Public School,Principal,Frederick Deppe,115 Washington Street,,Ayer,MA,01432,978-772-8600,978-772-8631,"PK,K,01,02,03,04,05"
00200505,Barnstable: Barnstable High,Public School,Principal,Patrick Clark,744 West Main Street,,Hyannis,MA,02601,508-790-6445,508-790-6430,"08,09,10,11,12"
00200315,Barnstable: Barnstable Intermediate School,Public School,Principal,Beth Deneen,895 Falmouth Road,,Hyannis,MA,02601,508-790-6460,508-790-6435,"06,07"
00200050,Barnstable: Barnstable United Elementary School,Public School,Principal,James Anderson,730 Osterville West Barnstable Road,,Marston Mills,MA,02648,508-420-2272,508-420-0185,"04,05"
00200010,Barnstable: Centerville Elementary,Public School,Principal,Matthew Scheufele,658 Bay Ln,,Centerville,MA,02632,508-790-9890,508-790-9895,"K,01,02,03"
00200001,Barnstable: Enoch Cobb Early Learning Center,Public School,Principal,Nicole Caucci,77 Old Craigville Road,,Hyannis,MA,02601,508-790-6493,508-790-9834,PK
00200025,Barnstable: Hyannis West Elementary,Public School,Principal,Eleanor Amato,549 West Main Street,,Hyannis,MA,02601,508-790-6480,508-790-9844,"K,01,02,03"
00200005,Barnstable: West Barnstable Elementary,Public School,Principal,Karen Cloutier,2463 Main St Route 6A,,West Barnstable,MA,02668,508-362-4949,508-362-1740,"K,01,02,03"
00200045,Barnstable: West Villages Elementary School,Public School,Principal,Kirk Gibbons,760 Osterville-West Barnstable Road,,Marstons Mills,MA,02648,508-420-1100,508-420-1486,"K,01,02,03"
04270010,Barnstable Community Horace Mann Charter Public (District): Barnstable Community Horace Mann Charter Public School,Charter School,Principal,Sheila Kukstis,165 Bearses Way,,Hyannis,MA,02601,508-790-6485,508-790-6432,"K,01,02,03"
35020405,Baystate Academy Charter Public School (District): Baystate Academy Charter Public School,Charter School,Principal,Joretha Lewis,2001 Roosevelt Avenue,,Springfield,MA,01104,413-366-5100,413-366-5101,"06,07,08,09,10,11"
00230505,Bedford: Bedford High,Public School,Principal,Heather Galante,9 Mudge Way,,Bedford,MA,01730,781-275-1700,781-275-6664,"PK,09,10,11,12"
00230305,Bedford: John Glenn Middle,Public School,Principal,Kevin Tracey,99 McMahon Road,,Bedford,MA,01730,781-275-3201,781-275-7632,"06,07,08"
00230010,Bedford: Lt Elezer Davis,Public School,Principal,Beth Benoit,410 Davis Rd,,Bedford,MA,01730,781-275-6804,781-275-7639,"K,01,02"
00230012,Bedford: Lt Job Lane School,Public School,Principal,Robert Ackerman,66 Sweetwater Avenue,,Bedford,MA,01730,781-275-7606,781-275-4722,"03,04,05"
00240505,Belchertown: Belchertown High,Public School,Principal,Christine Vigneux,142 Springfield Road,,Belchertown,MA,01007,413-323-9419,413-323-9406,"09,10,11,12"
00240006,Belchertown: Chestnut Hill Community School,Public School,Principal,Jennifer Champagne,59 State Street,,Belchertown,MA,01007,413-323-0437,413-323-0459,"04,05,06"
00240005,Belchertown: Cold Spring,Public School,Principal,Andrea Mastalerz,57 South Main Street,,Belchertown,MA,01007,413-323-0428,413-323-0493,"PK,K"
00240025,Belchertown: Jabish Middle School,Public School,Principal,Thomas Ruscio,62 North Washington Street,,Belchertown,MA,01007,413-323-0433,413-323-0450,"07,08"
00240018,Belchertown: Swift River Elementary,Public School,Principal,Robert Kuhn,57 State Street,,Belchertown,MA,01007,413-323-0472,413-323-0492,"01,02,03"
00250003,Bellingham: Bellingham Early Childhood Center,Public School,Principal,Pamela Fuhrman,338 Hartford Avenue,,Bellingham,MA,02019,508-966-2512,--,PK
00250505,Bellingham: Bellingham High School,Public School,Principal,Lucas Giguere,60 Blackstone Street,,Bellingham,MA,02019,508-966-3761,508-966-4183,"08,09,10,11,12"
00250315,Bellingham: Bellingham Memorial School,Public School,Principal,Jeffrey Croteau,130 Blackstone Street,,Bellingham,MA,02019,508-883-2330,508-883-2037,"04,05,06,07"
00250510,Bellingham: Keough Memorial Academy,Public School,Principal,David Cutler,60 Harpin Street,,Bellingham,MA,02019,508-883-5403,508-883-5408,"07,08,09,10,11,12"
00250020,Bellingham: South Elementary,Public School,Principal,Judith Lamarre,70 Harpin Street,,Bellingham,MA,02019,508-883-8001,508-883-5081,"K,01,02,03"
00250025,Bellingham: Stall Brook,Public School,Principal,Brenda Maurao,342 Hartford Avenue,,Bellingham,MA,02019,508-966-0451,508-966-4679,"K,01,02,03"
00260505,Belmont: Belmont High,Public School,Principal,Dan Richards,221 Concord Avenue,,Belmont,MA,02478,617-993-5901,617-993-5909,"09,10,11,12"
00260015,Belmont: Daniel Butler,Public School,Principal,Danielle Betancourt,90 White Street,,Belmont,MA,02478,617-993-5550,617-484-7921,"K,01,02,03,04"
00260010,Belmont: Mary Lee Burbank,Public School,Principal,Tricia Clifford,266 School Street,,Belmont,MA,02478,617-993-5500,617-484-2050,"K,01,02,03,04"
00260035,Belmont: Roger E Wellington,Public School,Principal,Amy Spangler,121 Orchard Street,,Belmont,MA,02478,617-993-5600,617-484-1790,"PK,K,01,02,03,04"
00260005,Belmont: Winn Brook,Public School,Principal,Janet Carey,97 Waterhouse Rd,,Belmont,MA,02478,617-993-5700,617-484-2657,"K,01,02,03,04"
00260305,Belmont: Winthrop L Chenery Middle,Public School,Principal,Michael McAllister,95 Washington Street,,Belmont,MA,02478,617-993-5800,617-993-5809,"05,06,07,08"
04200205,Benjamin Banneker Charter Public (District): Benjamin Banneker Charter Public School,Charter School,Principal,Sherley Bretous-Carre,21 Notre Dame Avenue,,Cambridge,MA,02140,617-497-7771,617-497-4223,"PK,K,01,02,03,04,05,06"
04470205,Benjamin Franklin Classical Charter Public (District): Benjamin Franklin Classical Charter Public School,Charter School,Principal,Heather Zolnowski,201 Main Street,,Franklin,MA,02038,508-541-3434,508-541-5396,"K,01,02,03,04,05,06,07,08"
35110205,Bentley Academy Charter School (District): Bentley Academy Charter School,Charter School,Principal,Marlena Afonso,25 Memorial Drive,,Salem,MA,01970,978-740-1260,978-740-1164,"K,01,02,03,04,05"
00270010,Berkley: Berkley Community School,Public School,Principal,Jennifer Francisco,59 South Main Street,,Berkley,MA,02779,508-822-9550,508-822-3773,"PK,K,01,02,03,04"
00270305,Berkley: Berkley Middle School,Public School,Principal,Kimberly Hebert,21 North Main Street,,Berkley,MA,02779,508-884-9434,508-386-1044,"05,06,07,08"
04140305,Berkshire Arts and Technology Charter Public (District): Berkshire Arts and Technology Charter Public School,Charter School,Principal,April West,One Commercial Place,PO Box 267,Adams,MA,01220,413-743-7311,413-743-7327,"06,07,08,09,10,11,12"
06180505,Berkshire Hills: Monument Mt Regional High,Public School,Principal,Amy Rex,600 Stockbridge Road,,Great Barrington,MA,01230,413-528-3346,413-528-9267,"09,10,11,12"
06180310,Berkshire Hills: Monument Valley Regional Middle School,Public School,Principal,Benjamin Doren,313 Monument Valley Rd,,Great Barrington,MA,01230,413-644-2300,413-644-2394,"05,06,07,08"
06180035,Berkshire Hills: Muddy Brook Regional Elementary School,Public School,Principal,Mary Berle,318 Monumnet Valley Rd,,Great Barrington,MA,01230,413-644-2350,413-644-2395,"PK,K,01,02,03,04"
00280005,Berlin: Berlin Memorial,Public School,Principal,John Campbell,34 South Street,,Berlin,MA,01503,978-838-2417,978-838-2395,"PK,K,01,02,03,04,05"
06200505,Berlin-Boylston: Tahanto Regional High,Public School,Principal,Diane Tucceri,1001 Main Street,,Boylston,MA,01505,508-869-2333,508-869-0175,"06,07,08,09,10,11,12"
00300055,Beverly: Ayers/Ryal Side School,Public School,Principal,Debra Lay,40 Woodland Avenue,,Beverly,MA,01915,978-921-6116,978-921-1995,"K,01,02,03,04,05"
00300505,Beverly: Beverly High,Public School,Principal,Elizabeth Taylor,100 Sohier Rd,,Beverly,MA,01915,978-921-6132,978-927-9460,"09,10,11,12"
00300305,Beverly: Briscoe Middle,Public School,Principal,Matthew Poska,7 Sohier Rd,,Beverly,MA,01915,978-921-6103,978-927-7781,"06,07,08"
00300010,Beverly: Centerville Elementary,Public School,Principal,Julie Smith,17 Hull Street,,Beverly,MA,01915,978-921-6120,978-921-8571,"K,01,02,03,04,05"
00300015,Beverly: Cove Elementary,Public School,Principal,Lisa Fiandaca,20 Eisenhower Avenue,,Beverly,MA,01915,978-921-6121,978-921-8551,"K,01,02,03,04,05"
00300033,Beverly: Hannah Elementary,Public School,Principal,Gabrielle Montevecchi,41R Brimbal Avenue,,Beverly,MA,01915,978-921-6126,978-921-6084,"K,01,02,03,04,05"
00300002,Beverly: McKeown School,Public School,Principal,Stacy Bucyk,70 Balch Street,,Beverly,MA,01915,978-921-6100,978-921-8555,PK
00300040,Beverly: North Beverly Elementary,Public School,Principal,Erin Brown,48 Putnam Street,,Beverly,MA,01915,978-921-6130,978-921-4007,"K,01,02,03,04,05"
00310505,Billerica: Billerica Memorial High School,Public School,Principal,Thomas Murphy,35 River Street,,Billerica,MA,01821,978-528-8712,978-528-8719,"PK,09,10,11,12"
00310030,Billerica: Eugene C Vining,Public School,Principal,Christine Gibelli,121 Lexington Rd,,Billerica,MA,01821,978-528-8630,978-436-9587,"K,01,02,03,04,05"
00310007,Billerica: Frederick J Dutile,Public School,Principal,Christine Balzotti,10 Biagiotti Way,,North Billerica,MA,01862,978-528-8530,978-436-9548,"K,01,02,03,04,05"
00310026,Billerica: Hajjar Elementary,Public School,Principal,Elizabeth Devine,59 Rogers Street,,Billerica,MA,01862,978-528-8550,978-436-9556,"K,01,02,03,04,05"
00310012,Billerica: John F Kennedy,Public School,Principal,David Marble,20 Kimbrough Rd,,Billerica,MA,01821,978-528-8570,978-436-9567,"K,01,02,03,04,05"
00310310,Billerica: Locke Middle,Public School,Principal,Anthony Garas,110 Allen Rd,,Billerica,MA,01821,978-528-8650,978-528-8659,"06,07,08"
00310305,Billerica: Marshall Middle School,Public School,Principal,Michael Rossi,15 Floyd Street,,Billerica,MA,01821,978-528-8670,978-528-8679,"06,07,08"
00310015,Billerica: Parker,Public School,Principal,Suzanne Sullivan,52 River Street,,Billerica,MA,01821,978-528-8610,978-528-8619,"K,01,02,03,04,05"
00310005,Billerica: Thomas Ditson,Public School,Principal,Victoria Hatem,39 Cook Street,,Billerica,MA,01821,978-528-8510,978-436-9537,"K,01,02,03,04,05"
08050605,Blackstone Valley Regional Vocational Technical: Blackstone Valley,Public School,Principal,Anthony Steele,65 Pleasant Street,,Upton,MA,01568,508-529-7758,508-529-2403,"09,10,11,12"
06220015,Blackstone-Millville: A F Maloney,Public School,Principal,Carol Brown,200 Lincoln Street,,Blackstone,MA,01504,508-876-0119,508-876-0158,"03,04,05"
06220505,Blackstone-Millville: Blackstone Millville RHS,Public School,Principal,Michael Dudek,175 Lincoln Street,,Blackstone,MA,01504,508-876-0117,508-876-1035,"09,10,11,12"
06220405,Blackstone-Millville: Frederick W. Hartnett Middle School,Public School,Principal,Tonya Curt-Hoard,35 Federal Street,,Blackstone,MA,01504,508-876-0190,508-876-0198,"06,07,08"
